Carimbo de data/hora,status de envio do email de onboarding,Qual é a sua idade? 🌐, Qual é o seu nível de escolaridade? 🎓,Em qual bairro/cidade você mora? 🏠 (por favor bote em caps lock para fins de padronização. Ex: FORTALEZA/PRAIA DE IRACEMA),"Como você se identifica em termos de raça/etnia? (por exemplo, preta, parda, branca, indígena, etc.) ✊🏽 ",Como você se identifica em termos de gênero? 🏳‍🌈,Como você se identifica em termos de orientação sexual? 💖,Você tem filhos?  👧👦 ,"Você sempre foi da área de T.I.? Se não, qual sua área original?  💻 ",Qual sua situação profissional? 💼,"Se, atualmente, você está profissionalmente ativa, poderia nos fornecer mais detalhes? 💼","Por favor, descreva um pouco sua jornada até aqui  ✍️ 🧳 ",Você programa/já programou em Python?  🐍 , Há quanto tempo você trabalha ou estuda na área de tecnologia? ⏳,"Se você não sabe programar em Python, você tem interesse em aprender? 🐍",Como você se considera seu nível na linguagem Python? 🐍,Você trabalhou com Python em qual segmento? 💻🐍,Com quais outras tecnologias você já trabalhou?  💻,Como você conheceu a comunidade PyLadies? 🌟,Você já participou de algum evento organizado pela PyLadies Fortaleza? 🌟,O que você espera da comunidade PyLadies? 🌟,Como você pode contribuir para a comunidade? 🌟,Qual dessas áreas mais te despertam interesse? 🔍,Qual tipo de evento você mais gosta de participar? 🤝,Você se sente confortável para ministrar palestras/cursos/etc? 🤝,Sobre quais assuntos você poderia ministrar palestras/cursos/etc? 🔍,O que poderia ter na comunidade para despertar seu interesse em interagir/participar mais? 🌟,Você gostaria de participar de um programa de mentoria na comunidade PyLadies Fortaleza? 🌟,"Você fez/faz parte de alguma outra comunidade? Se sim, qual? 🔍",Você tem experiência com organização de eventos?  🔍,"Além de tecnologia, quais outros interesses você cultiva?  🎨 ","Você aceita que a PyLadies Fortaleza colete, trate e armazene seus dados fornecidos neste formulário?",Data de aniversário dd/mm - para fins fofinhos da Squad de RH  🎂 ,Formato Data (Ignorar Ano),Você autoriza a postagem comemorativa de aniversário? 👤 ,"Qual é a sua profissão atual ou área de atuação? 💼 (Exemplo: Engenheira de Software, Cientista de Dados, Engenheira de Dados, QA, UX..)",Qual é a sua faixa de renda mensal? 💰,"Se sim, há quanto tempo programa/programou em Python? 🐍",Com que frequência você participa de eventos da PyLadies? 📅, Quais são os principais desafios que você enfrenta como mulher na área de tecnologia? 🚧,Que tipo de apoio ou recursos você gostaria de ver mais na comunidade? 🤲,Você prefere trabalhar em projetos individuais ou em equipe? Por quê? 👩‍💻,"Precisa da sua autorização para guardar suas informações do formulário! 📝 Usaremos só para entender melhor vocês e planejar eventos incríveis! ✨ Promessa: seus dados ficam seguros conosco, sem compartilhamento! 🤫
Você aceita? 👍","Nos próximos eventos, tiraremos muitas fotos incríveis! 📸  Queremos compartilhar a energia boa com todos! ✨ Usaremos algumas fotos com você em posts, convites e divulgação. 😉 Você autoriza a PyLadies Fortaleza a usar sua imagem? 👍",email_hash,nome_hash,contato_hash
2025-01-14 21:22:40,Enviado,Entre 31 e 40 anos,Graduação - concluído,Fortaleza/ Damas,Branca,Cisgênera,Heterossexual,Não,Contabilidade,Empreendedor(a),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Sou contadora há 11 anos e no ano de 2024 resolvi me aventurar no mundo da análise de dados. Comecei estudando Python, mas ainda não me sinto segura. Agora estou estudando Sql. Vi algumas coisas também de PowerBi. ",Não,menos de 1 ano,Sim,Júnior,Não se aplica,"Nunca trabalhei efetivamente com nenhuma tecnologia, porém, estou estudando Python, Sql e PowerBi","Redes Sociais (Instagram, Facebook e etc)",Não,QUERO CONHECER OUTRAS PESSOAS QUE ASSIM COMO EU GOSTAM DE TECNOLOGIA,POSSO AJUDAR NA ORGANIZACAO DE EVENTOS ADORO FAZER ISSO POSSO AJUDAR EM QUESTOES BUROCRATICAS COMO ABERTURA DE CNPJ PARA A COMUNIDADE REGULARIZACAO DE QUESTOES SOCIETARIAS ENTRE OUTRAS,"Análise/Visualização de Dados, Data Science, Machine Learning","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Sim,"Planejamento financeiro pessoal ou empresarial, tributação para trabalhadores PJ na área de tecnologia ","Já estou achando bastante interessante, mas poderiam ter encontros presenciais para maior interação entre o grupo ","Sim, como mentora e mentorada",Não ,Sim,"📚 (livros, representando interesses em leitura), ⚽ (futebol, representando interesses esportivos), 🌍 (viagens, para interesses em explorar o mundo)",,13/04,,Sim,"Sou contadora, sócia de uma empresa de contabilidade ",Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Não se aplica,,FALTA DE OPORTUNIDADES PARA MULHERES,TREINAMENTOS CAPACITACOES DIVULGACAO DE VAGAS,"Gosto de trabalhar em equipe, acredito que muitas cabeças pensam melhor que uma ","Sim, autorizo!","Sim, autorizo!",082097016349cf6c7d81a52992181201f49e2474898ec7d5b44d585d173e7b77,b36af3dde3f7b20a52173b3072c2c22287b5c3af9d74b217029a7113e053ba5a,f23818a17770190abdfd67392c89dbde07e1af09ea632e5e76e66c1df2a773d6
2025-01-20 10:48:07,Enviado,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,Monte Castelo,Branca,Cisgênera,Lésbica,Não,Sim,Funcionária de empresa privada (CLT/PJ),Mercado internacional ,"Trabalho com desenvolvimento de software desde 2019, hoje participo de todo processo da criação do software. Minha linguagem principal é Java, mas Python foi a minha primeira linguagem de programação.",Sim,Mais de 4 anos,Sim,Júnior,Não se aplica,Java,"Redes Sociais (Instagram, Facebook e etc)",Não,MUITA TROCA DE CONHECIMENTO E NETWORK,AINDA NAO SEI VISTO QUE NAO TENHO MUITO CONHECIMENTO EM PYTHON,Desenvolvimento Web,Workshops,Talvez,,,Talvez,Não,Não,"🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🎮 (jogos, para quem curte videogames)",,11/08/1992,,Sim,Analista de sistemas sênior,Acima de 7 salários míninos ( >= 9.884 ),menos de 1 ano,1 evento por ano,,,,"Sim, autorizo!","Sim, autorizo!",f601845ae0d90c5fb55aa8b62e7c242c483ba0ae2b2fe9389c3a32789a0c78cc,2d57d78af7422aee028199c47b497dc200e117f9ee47aafaa104bd6bd02b4d37,13553baeb3cf1f5e2872486c27a6772f4f76f0b9b567f854e44221ebe2d7eaac
2025-09-05 17:15:58,Enviado,Entre 18 e 24 anos,Ensino Médio/Técnico (cursando ou concluído),FORTALEZA/MONTE CASTELO,Branca,Cisgênera,,Não,Fiz o ensino médio integrado ao curso técnico de Redes de computadores e atualmente estou estudando python,Não trabalho e estou buscando um emprego/estágio,Não se aplica,"

Fiz o Ensino Médio de 2020 a 2022 integrado ao curso técnico de Redes de Computadores. Devido à pandemia, tive menos experiências práticas e meu estágio acabou sendo fora da área. Atualmente, estou reforçando meus conhecimentos e iniciei os estudos de programação em Python.",Sim,Mais de 4 anos,Sim,Não sei definir,Não se aplica,,"Redes Sociais (Instagram, Facebook e etc), Indicação de amiga(o)",Não,,,Desenvolvimento Web,"Atividades lúdicas e recreativas, Workshops, Tutoriais",Não,,,"Sim, como mentorada",Nunca fiz parte de nenhuma comunidade,Não,"🎨 (arte, representando interesses criativos), 🎶 (música, para interesses musicais)",,16/06/2005,,Sim,,,menos de 1 ano,,,,,"Sim, autorizo!","Sim, autorizo!",165d0616e4628279fefa4e3fb62dc1908c114c1915c92177cb67e7bb93b5105d,d862ef9aa9d0b3a30558b4d4bc06056301216839a97d673c83ad30889ea6a685,e187db207ad818ee9a51cfe2cbc403c15a654ddc8a3c5acf959879b87faee82d
2025-10-05 13:33:22,Enviado,Entre 25 e 30 anos,Graduação - cursando,LUZIA/ARACAJU,Preta,Cisgênera,Bissexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Iniciei a carreira profissional em tecnologia como estagiária e após 1 ano migrei de carreira para DevOps,Não,1 ano a 2 anos,Talvez,Não se aplica,Não se aplica,Kotlin,"Redes Sociais (Instagram, Facebook e etc)",Não,APOIO TROCA DE CONHECIMENTOS,SENDO ATIVA COMPARTILHANDO POUCO DO CONHECIMENTO EM TECNOLOGIA QUE APRENDI ATE ENTAO,Segurança,"Workshops, Tutoriais",Não,Não se aplica,"Abertura e inclusão de todas, sem grupinho","Sim, como mentorada",DevOps-CE,Sim,"⚽ (futebol, representando interesses esportivos), 🎶 (música, para interesses musicais), 🎮 (jogos, para quem curte videogames)",,05/04/1998,,Não,DevOps/SRE,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Não se aplica,1 evento por ano,ATE ENTAO NAO PASSEI POR NENHUM,INDICACAO DE CURSOS,Em equipe ,"Sim, autorizo!","Sim, autorizo!",213029e183ee0813b3ceb0f461fddf8b66cf787f67b45dbc0ed9fe44b80f5cd5,070f297be43dfc2220244e0fb2d098a10e4ccb61cd6086a6cec4321146cc2ea6,74b984197e6acf23ba5369e4e40aee88e71b911d42c2c4e31dc6d0f22bb4b413
2025-03-31 19:21:45,Enviado,Entre 41 e 50 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,FORTALEZA/PARQUELANDIA,Branca,Cisgênera,Heterossexual,Sim e sou a única responsável por eles,Sim.,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Sou Ux Designer, voltuntaria do Ladies that UX, moderadora do grupo Mulheres_da_TI_ce., consultora de UX (@senhora.ux), parceira do Agilizem Podcast. Atualmente trabalho na Capgemini para o Banco do Brasil.",Não,Mais de 4 anos,Não se aplica,Não sei definir,Não se aplica,"Java, delphi,, js","Redes Sociais (Instagram, Facebook e etc), Evento","Sim, como participante",NETWORKING AMIZADES COMPARTILHAMENTO DE EXPERIENCIAS,POR ENQUANTO QUERO CONHECER A COMUNIDADE E QUEM SABE NO FUTURO POSSO ME ENVOLVER UM POUCO MAIS,"Desenvolvimento Web, IoT, Jogos, Machine Learning, UX e IA","Atividades lúdicas e recreativas, Workshops, Palestras",Sim,"UX Design, UX Research",,Talvez,"UXFor, IXDA Fortaleza, Ladies That UX, Agiliza Ceará",Prefiro não informar,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo)",,07/09,,Sim,UX DESIGNER,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Não se aplica,1 evento por ano,CONCILIAR CARREIRA COM A MATERNIDADE,APOIO PARA MULHERES INICIANTES NA AREA E EVENTOS,Depende do tipo de projeto. Mas sou bem adaptável.,"Sim, autorizo!","Sim, autorizo!",99b7ea97a915e9a8958203ccf4ee74d0587cec07e32d3771eee5cf6b4e467e33,ccadba9939c7e7eb1c7e992427a1a4e9a15327713c24fab4ac0abc293eab3a10,0aaf64df5a3df5e015c7eb73b6cbe90b6bb92d0fe7b1a387b728391fd71efcf5
2024-12-19 14:33:44,Enviado,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,CAUCAIA/ARATURI,Preta,Cisgênera,"Assexual, Lésbica",Não,Sim,Não trabalho e estou buscando um emprego/estágio,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",,Sim,Mais de 4 anos,Não se aplica,Não sei definir,"Análise/Visualização de Dados, Big Data, Data Science, Desenvolvimento Web, Machine Learning",Android,"Redes Sociais (Instagram, Facebook e etc)","Sim, como organizadora",,,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Talvez,Ciência de Dados e Machine Learning,,Talvez,Não,Não,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), ⚽ (futebol, representando interesses esportivos), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo), 🎮 (jogos, para quem curte videogames)",Sim,18/10/1991,18/10/2023,Sim,Cientista de Dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Entre 1 a 3 eventos por ano,,,Individuais,"Sim, autorizo!","Sim, autorizo!",20f854ffb79a55ce179c2753ac51b72588465231d23cc0cf0e05ec86b1b5831e,001b9d2abd4b49daf5fe4c0899d280334428a9bd684e8430781859e5265c51df,cff9c30929abc4c564156893ecb6e593ce531e6867190cd07dd00cf4376d9243
2025-06-01 13:59:03,Enviado,Entre 25 e 30 anos,Graduação - concluído,Fortaleza / Maraponga,Branca,Cisgênera,Bissexual,Não, ,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Durante a graduação fiz pesquisa voltada para IoT e desenvolvimento Web, fiz estágio como full stack e trabalhei por 3 anos como QA e a 2 anos fiz transição para o desenvolvimento com foco em backend java e agora clojure.",Sim,Mais de 4 anos,Sim,Júnior,"IoT, Testes","Java, Ruby, C#, Clojure","Redes Sociais (Instagram, Facebook e etc)","Sim, como organizadora, Sim, como participante",TROCA DE CONHECIMENTO,MENTORAR MOVIMENTAR O GITHUB GERENCIAR PROJETOS,"Desenvolvimento Web, IoT, Jogos, Machine Learning, Testes","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Sim,"Teste, desenvolvimento, IoT","Não trabalho com python, então ter abertura para outras tecnologias, apesar de da comunidade ser voltada para tal.","Sim, como mentora",Caliandras Digitais (inativa),Não,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga), 🎮 (jogos, para quem curte videogames)",Sim,07/08/1998,,Sim,Engenheira de Software,Acima de 7 salários míninos ( >= 9.884 ),menos de 1 ano,Entre 1 a 3 eventos por ano,AUTOCOBRANCA,CRIACAO DE PROJETOS PRATICOS DE PROGRAMACAO,"Em grupos pequenos, pois acredito que seja mais fácil para todos contribuirem.","Sim, autorizo!","Sim, autorizo!",fff11cb1073cf89f555c432008a6855896f1452a7cbf9aa1f7f81e9000f79b52,6274684854bc4b802771371477e3d076d84fd5233fe4cc21a36150426dae61ed,d0dcc037e2be68b6a8fd2a6c908f0eae6f159c2579b04e8499bd5c76c6a6a277
2025-03-02 22:36:19,Enviado,Entre 18 e 24 anos,Graduação - concluído,SIQUEIRA,Parda,Cisgênera,Lésbica,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Cursei Redes de Computadores na EEEP Leonel de Moura Brizola, continuando no ramo da tecnologia, trabalhei de suporte por pouco mais de 1 ano e meio, até me encontrar na área de dados, entrando de cabeça em um projeto super desafiador, mesmo não sabendo nada da área. Desde então, são pouco mais de 2 anos atuando como analista de dados. Já passei por grandes projetos em empresas como Pague Menos, Free Balance, Grupo Emma, Banco do Brasil (este como apoio), e no Hapvida, onde trabalho atualmente, mas dentro da área de gestão de riscos e controles internos. Amo a tecnologia, e não me vejo em outra área senão esta.",Sim,Mais de 4 anos,Sim,Júnior,Análise/Visualização de Dados,"Power BI, SQL","Redes Sociais (Instagram, Facebook e etc), Evento","Sim, como participante",EVENTOS NETWORKING,CONHECIMENTO INDICACAO DE VAGAS,"Análise/Visualização de Dados, Big Data, Data Science","Workshops, Palestras",Não,,,"Sim, como mentorada",Não,Sim,"🎨 (arte, representando interesses criativos), ⚽ (futebol, representando interesses esportivos), 🎶 (música, para interesses musicais), 🎮 (jogos, para quem curte videogames)",,08/02,,Sim,Analista de dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),menos de 1 ano,1 evento por ano,,,Em equipe. Gosto de compartilhar ideias e pensamentos. Ajudas sempre são bem vindas.,"Sim, autorizo!","Sim, autorizo!",b94378118ff5dc7b115c556cbcd53c40de4ec30e2ef9dfe1b7274cf5f7837559,94640866aeb7621d3f070a5cef8267998e140325c3437fed27c53ec384972d60,01d4f540da1bdada11f1fe5e6ce0d172ac1095cbe1c4c883e9c1cbe22dbb4161
2025-01-15 18:33:55,Enviado,Entre 25 e 30 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - cursando,Fortaleza/Messejana ,Branca,Cisgênera,Heterossexual,Não,"Não, Ciências Econômicas",Bolsista de instituição acadêmica,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Economista com base em análise quantitativa e experiência substancial em pesquisa econômica. Doutoranda em Economia Rural com habilidades em R e Python para análise de dados e modelagem preditiva. Apaixonada por extrair insights significativos de conjuntos de dados complexos e influenciar decisões estratégicas através de análises baseadas em dados.

Na área de Economia tem experiência com ênfase em Crescimento Econômico, Economia da Educação, Economia Regional, Urbana, Agrícola e Agrária.",Sim,Mais de 4 anos,Sim,Júnior,Machine Learning,"R, Stata",Indicação de amiga(o),Não,,,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Workshops, Palestras, Tutoriais",Sim,"Com aplicação em R na área Crescimento Econômico, Economia da Educação, Economia Regional, Urbana, Agrícola e Agrária.",,"Sim, como mentora e mentorada",Não ,Sim,"🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga), 🎮 (jogos, para quem curte videogames)",,24/03/1994,,Sim,Cientista de dados ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),menos de 1 ano,,,,,"Sim, autorizo!","Sim, autorizo!",be61d85a2463aefd8cc72d5442510b021be531848e3e40ce1106a35f88c9fe7e,aeb64aadf94faa99d4b68383e0d6004b2eba962da9ed7b8c2c1fb60124a29463,935a07e8c3a2bb31cb97b6b8f702868fb4bc99a4184f0fee23bb1843253a7f54
2025-01-15 21:59:33,Enviado,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/BENFICA,Branca,Cisgênera,Lésbica,Não,Sempre foi da área de TI,"Não trabalho, mas não estou buscando um emprego/estágio",Estou buscando ativamente novo emprego/estágio/etc.,"Iniciei o curso de Engenharia de Computação em 2022 e tive meu primeiro contato com a área de programação, aprendi linguagens e fiz projetos na faculdade em C e Java mas só no início do ano passado comecei a procurar e estudar por fora da faculdade e descobri que me identifico muito com as áreas de Ciência de Dados com Python. Já fiz cursos e bootcamps com foco na análise, tratamento e aplicação de modelos em base de dados com Python e pretendo me especializar no assunto!!",Sim,2 a 4 anos,Não se aplica,Júnior,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Java, C, HTML, CSS, Javascript, Cibersegurança, Git e Github","Redes Sociais (Instagram, Facebook e etc)",Não,ESPERO QUE SEJA UM ESPACO PARA CONHECER NOVAS DIVAS QUERIDAS QUE COMPARTILHAM O INTERESSE PELA LINGUAGEM PYTHON E POR TODA A AREA DE TI E ASSIM FORMARMOS UMA COMUNIDADE UNIDA E UMA BASE FORTE DE AMIZADE E TROCA DE CONHECIMENTOS,PRETENDO COMPARTILHAR O QUE JA APRENDI E FAZER A COMUNIDADE CRESCER JUNTO A MIM NESTA AREA AINDA TAO POUCO DOMINADA PELAS MULHERES E PODER CONTRIBUIR ATIVAMENTE EM PROJETOS E NO DIA A DIA DAS ACOES E ATIVIDADES PROMOVIDAS,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais","Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Ciência de Dados, Back-end com python e Git e GItHub.",Conversas diárias para trocas de conhecimento,"Sim, como mentora e mentorada",Ainda não faço parte de nenhuma outra comunidade,Sim,"🎨 (arte, representando interesses criativos), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo)",,09/06,,Sim,Cientista de Dados,Menos de 1 salário mínino ( < 1.412),1 ano a 2 anos,,A MAIORIA DOS ESPACOS SEREM DOMINADAS POR HOMENS E A FALTA DE OPORTUNIDADES PARA INICIANTES,NETWORKING PARA VAGAS E OPORTUNIDADES DE EMPREGOSESTAGIOS,Consigo participar de projetos nas duas modalidades.,"Sim, autorizo!","Sim, autorizo!",9856980418e66192ded513b18c560893b10481b82e2b5bf0afa2b4fd181b4dbd,d4d53a1956c8921cbd832b389c137716159ba41fd34fc1c7bf734933cf0db323,cac3bd3ce622910eae60bb48bdbc19aa5e928992b3d14c5d6e454ce1a1ab17ee
2024-12-19 18:32:26,Enviado,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/ANTÔNIO BEZERRA ,Parda,Cisgênera,Heterossexual,Não,"Não, estou tentando me descobrir na área. Primeira vez cursando o ensino superior ",Estagiária,Estou buscando ativamente novo emprego/estágio/etc.,,Não,menos de 1 ano,Sim,Não se aplica,Não se aplica,,Indicação de amiga(o),Não,OPORTUNIDADES DE EMPREGO,COMPARTILHANDO INFORMACOES,"Análise/Visualização de Dados, Segurança","Workshops, Palestras",Talvez,Jornada de desenvolvimento ,,"Sim, como mentorada",Não ,Sim,"⚽ (futebol, representando interesses esportivos), 🎮 (jogos, para quem curte videogames)",,30/06,,Não,,Menos de 1 salário mínino ( < 1.412),Não se aplica,,,,,"Sim, autorizo!","Sim, autorizo!",d47cb00149c195a729f19f7bcef33f911c6b99d4c79dc7cf7f4e508498187d44,b21c44dc7db4ec1d767861ec1997dcb128c248af67deb9655a4980df3be666d1,3ad6a714eee2660398382ead120cfbe904373b9ecdc434bd91c3d8653f25dab7
2024-12-19 14:00:05,Enviado,Entre 25 e 30 anos,Graduação - cursando,FORTALEZA/JACARECANGA ,Branca,Cisgênera,Prefiro não informar,Sim e compartilho a responsabilidade sobre eles com outras pessoas,"não, estou começando agora e pretendo usar a tecnologia na parte de administração e finanças ",Voluntária em ONG ou outra organização,Não se aplica,,Não,menos de 1 ano,Sim,Não se aplica,Não se aplica,,"Redes Sociais (Instagram, Facebook e etc), Evento","Sim, como participante",,,"Análise/Visualização de Dados, Big Data","Workshops, Palestras",Não,,,"Sim, como mentorada",não ,Sim,"🎮 (jogos, para quem curte videogames)",,11.01.1998,,Sim,,Menos de 1 salário mínino ( < 1.412),Não se aplica,,,,"ambos, pra determinadas ações as vezes é bom em grupo e em outras individual.","Sim, autorizo!","Sim, autorizo!",b3c7bbbbf7bc7ccd7d42e60df36ac9e3b63b4e2b3c50f588e82207845ee595c1,a5367c5a1971f4f4aa52c9cd8b2b56f436d48e9a78db2820114aa683f6aba056,95e1ab7496a8dc490df939db26d1e1450a0ba280ff313f28d76fae89bee52da6
2025-01-21 01:58:40,Enviado,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,FORTALEZA/MESSEJANA,Parda,Cisgênera,Heterossexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,"Não, estou tentando entrar no ramo agora. Sou bióloga de formação",Funcionária de empresa privada (CLT/PJ),Sou professora atualmente e desejo migrar para área da T.I,"Sou bióloga de formação, graduada e mestra. Depois que tive minha filha deixei a área da biologia de campo e voltei para sala de aula, algo que não me identifico e gostaria de deixar. Tenho muito interesse em entrar na área de dados para migrar de profissão e ter mais qualidade de vida para mim e família. Atualmente tenho  empregos, trabalho muito e não tenho tempo de qualidade para demais setores da minha vida. ",Não,menos de 1 ano,Sim,Não se aplica,Não se aplica,Nenhuma,Indicação de amiga(o),Não,CONHECER MAIS DO UNIVERSO DA TIDADOS E INGRESSAR NESSE UNIVERSO,QUANDO TIVER COMPETENCIAS E HABILIDADES NA AREA PODER ENSINAR DEMAIS MULHERES A ENTRAREM NO RAMO ASSIM COMO ACREDITO QUE SEREI ENSINADA,"Não sei, ainda irei descobrir. ","Não sei, ainda irei descobrir. ",Sim,"Nas áreas que tenho domínio do conhecimento, porém na área de TI sou ainda não tenho expertise. ",Cursos e palestras sobre os diversos segmentos da TI,"Sim, como mentora e mentorada",Não,Sim,"⚽ (futebol, representando interesses esportivos), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",,05/12/1991,,Sim,Bióloga,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Não se aplica,1 evento por ano,NA AREA DA TECNOLOGIA ESPECIFICAMENTE AINDA NAO TENHO POIS AINDA NAO ENTREI NO RAMO MAS DIFICULDADE DE ENTRAR NO MERCADO POR NAO TER TEMPO DE ESTUDAR PELA ROTINA DE TRABALHO CASA FILHOS AUTOCUIDADO E ETC,NAO SEI AINDA,A primeiro momento prefiro em equipes para poder aprender mais com quem tem mais conhecimento,"Sim, autorizo!","Sim, autorizo!",a0e6f3024b024ce8505ca668e033672a95df257235b56363e2c13e53659b5958,3d93ed1cdbfaa4053cfb4ca686f6756124eda59d8e638f5039b47d4d28d60f2f,ec855cc3f652258ebbce9d962f0cb3c460a00e94c5db0e522120d640cb48bbd2
2025-01-14 21:14:00,Enviado,Entre 18 e 24 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - cursando,FORTALEZA/VILA UNIÃO,Branca,Agênera,Heterossexual,Não,Design,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",,Não,menos de 1 ano,Sim,Não se aplica,Não se aplica,,Indicação de amiga(o),Não,CONHECER PESSOAS DA AREA DE TI E TROCAR EXPERIENCIAS,POSSO DAR DICAS E ENSINAR ALGUMA FERRAMENTA DA AREA DE DESIGN,"Desenvolvimento Web, Jogos","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Sim,"Design, WebDesign e coisas relacionadas a ferramentas.",Trocar experiências.,"Sim, como mentora",Não fiz.,Sim,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🎮 (jogos, para quem curte videogames)",,05/06/2000,,Não,UX DESIGN,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,1 evento por ano,DIFERENCA SALARIAL,APOIO E AJUDA COM OPNIOES,"Equipe, adoro esta cercada de pessoas.","Sim, autorizo!","Sim, autorizo!",b06ee7f2a6b923136f7b0db608432aa8d995eff6bfff02efd5bbe6d1d0a70577,f685f1974a83cc12170a9dce0dae1315e76c528d9ff9ea97738818397a690bd1,0c1ee1573cd7bfc618f1b9f222d784ee79bf01a04bc08a017bf3223beb61959a
